Atividade;Não atividade;Rock;Jazz;Pop;Hip Hop;Samba;Feminino;Masculino;Solo;Banda
SIM;SIM;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;SIM;NÃO
SIM;SIM;NÃO;SIM;SIM;SIM;NÃO;NÃO;SIM;SIM;SIM
ND;SIM;SIM;SIM;NÃO;SIM;NÃO;SIM;NÃO;SIM;SIM
SIM;SIM;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;NÃO;SIM
SIM;NÃO;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;SIM;SIM
SIM;NÃO;NÃO;SIM;NÃO;SIM;NÃO;NÃO;NÃO;SIM;SIM
SIM;SIM;SIM;ND;NÃO;SIM;NÃO;NÃO;NÃO;SIM;SIM
SIM;SIM;NÃO;SIM;NÃO;SIM;NÃO;NÃO;SIM;NÃO;SIM
SIM;SIM;SIM;SIM;SIM;SIM;NÃO;NÃO;NÃO;SIM;SIM
SIM;SIM;SIM;ND;NÃO;SIM;NÃO;SIM;NÃO;NÃO;SIM
SIM;NÃO;SIM;NÃO;SIM;SIM;NÃO;NÃO;NÃO;NÃO;NÃO
NÃO;SIM;SIM;SIM;SIM;SIM;NÃO;SIM;SIM;NÃO;SIM
SIM;NÃO;SIM;SIM;SIM;SIM;NÃO;NÃO;NÃO;NÃO;SIM
SIM;SIM;SIM;NÃO;SIM;SIM;NÃO;SIM;SIM;NÃO;SIM
SIM;SIM;SIM;SIM;ND;SIM;NÃO;SIM;SIM;NÃO;SIM
SIM;SIM;SIM;ND;SIM;SIM;NÃO;NÃO;NÃO;NÃO;SIM
SIM;SIM;SIM;SIM;SIM;SIM;NÃO;SIM;SIM;NÃO;NÃO
SIM;ND;SIM;SIM;NÃO;SIM;NÃO;NÃO;NÃO;SIM;NÃO
SIM;NÃO;;;;;;NÃO;SIM;SIM;NÃO
SIM;NÃO;;;;;;SIM;NÃO;NÃO;NÃO
SIM;NÃO;;;;;;NÃO;SIM;NÃO;SIM
SIM;NÃO;;;;;;NÃO;SIM;NÃO;NÃO
NÃO;NÃO;;;;;;NÃO;NÃO ;SIM;NÃO
SIM;NÃO;;;;;;NÃO;NÃO;NÃO;NÃO
SIM;NÃO;;;;;;NÃO;SIM;NÃO;NÃO
SIM;NÃO;;;;;;NÃO ;NÃO ;NÃO;NÃO
SIM;NÃO;;;;;;NÃO;SIM;NÃO;NÃO
NÃO;SIM;;;;;;NÃO;SIM;SIM;NÃO
ND;SIM;;;;;;NÃO;SIM;SIM;SIM
ND;SIM;;;;;;SIM;SIM;NÃO;NÃO
ND;NÃO;;;;;;SIM;SIM;SIM;NÃO
ND;SIM;;;;;;NÃO;SIM;NÃO;NÃO
ND;NÃO;;;;;;SIM;NÃO;ND;NÃO
ND;SIM;;;;;;NÃO;SIM;NÃO;NÃO
ND;NÃO;;;;;;NÃO;NÃO ;NÃO;SIM
SIM;NÃO;;;;;;NÃO;SIM;SIM;NÃO
SIM;NÃO;;;;;;SIM;NÃO;NÃO;SIM
SIM;SIM;;;;;;NÃO;NÃO;NÃO;SIM
SIM;NÃO;;;;;;SIM;SIM;SIM;SIM
SIM;NÃO;;;;;;SIM;SIM;SIM;SIM
SIM;NÃO;;;;;;NÃO;NÃO;NÃO;NÃO
SIM;NÃO;;;;;;NÃO;NÃO;SIM;SIM
SIM;NÃO;;;;;;NÃO;NÃO;SIM;SIM
SIM;NÃO;;;;;;SIM;SIM;NÃO;SIM
;NÃO;;;;;;SIM;NÃO;NÃO;SIM
