Década de 60;Década de 70;Década de 80;Década de 90;Década de 2000;Rock;Jazz;Pop;Hip Hop;Samba
NÃO;SIM;SIM;NÃO;SIM;SIM;SIM;SIM;SIM;NÃO
NÃO;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;SIM;NÃO;NÃO
SIM;NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;SIM;NÃO;NÃO
SIM;NÃO;SIM;SIM;SIM;NÃO;NÃO;SIM;SIM;NÃO
SIM;SIM;NÃO;SIM;NÃO;SIM;NÃO;NÃO;SIM;NÃO
NÃO;NÃO;NÃO;SIM;SIM;SIM;NÃO;SIM;NÃO;NÃO
NÃO;SIM;NÃO;SIM;NÃO;SIM;SIM;SIM;NÃO;NÃO
NÃO;SIM;NÃO;NÃO;NÃO;SIM;NÃO;NÃO;SIM;NÃO
NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;SIM;SIM;SIM;NÃO
SIM;NÃO;SIM;NÃO;SIM;SIM;SIM;SIM;NÃO;NÃO
SIM;SIM;NÃO;NÃO;SIM;NÃO;SIM;NÃO;NÃO;NÃO
SIM;SIM;SIM;SIM;NÃO;NÃO;NÃO;SIM;SIM;NÃO
NÃO;SIM;NÃO;SIM;NÃO;SIM;SIM;SIM;SIM;NÃO
SIM;NÃO;SIM;ND;SIM;NÃO;NÃO;SIM;SIM;NÃO
SIM;NÃO;NÃO;SIM;NÃO;SIM;SIM;NÃO;NÃO;NÃO
NÃO;SIM;NÃO;NÃO;SIM;NÃO;SIM;SIM;SIM;NÃO
SIM;SIM;SIM;NÃO;NÃO;SIM;;;;
NÃO;NÃO;NÃO;NÃO;NÃO;NÃO;;;;
NÃO;SIM;SIM;NÃO;NÃO;NÃO;;;;
NÃO;NÃO;SIM;NÃO;NÃO;NÃO;;;;
NÃO;NÃO;SIM;NÃO;NÃO;NÃO;;;;
NÃO;NÃO;SIM;NÃO;NÃO;NÃO;;;;
SIM;NÃO;NÃO;ND;NÃO;SIM;;;;
NÃO;SIM;SIM;NÃO;NÃO;NÃO;;;;
SIM;NÃO;NÃO;SIM;SIM;SIM;;;;
NÃO;SIM;SIM;NÃO;NÃO;SIM;;;;
SIM;SIM;NÃO;NÃO;NÃO;SIM;;;;
SIM;SIM;SIM;SIM;NÃO;NÃO;;;;
SIM;NÃO;SIM;NÃO;NÃO;SIM;;;;
SIM;NÃO;SIM;NÃO;NÃO;NÃO;;;;
NÃO;NÃO;NÃO;NÃO;SIM;SIM;;;;
NÃO;NÃO;NÃO;SIM;ND;SIM;;;;
NÃO;SIM;SIM;SIM;NÃO;;;;;
NÃO;NÃO;NÃO;ND;NÃO;;;;;
SIM;NÃO;SIM;SIM;NÃO;;;;;
SIM;SIM;SIM;NÃO;NÃO;;;;;
NÃO;NÃO;NÃO;NÃO;NÃO;;;;;
NÃO;SIM;SIM;NÃO;NÃO;;;;;
ND;NÃO;SIM;SIM;SIM;;;;;
NÃO;NÃO;SIM;SIM;NÃO;;;;;
NÃO;;;;;;;;;
